hostname;timestamp;/;/boot;/home;/opt;/tmp;/var;/var/log;/var/log/audit
www.example.com;2018-09-09 00:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 00:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 00:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 00:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 00:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 01:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 01:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 01:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 01:30:02;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 01:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 01:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 02:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 02:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 02:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 02:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 02:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 02:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 03:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 03:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 03:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 03:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 03:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 03:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 04:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 04:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 04:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 04:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 04:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 04:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 05:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 05:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 05:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 05:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 05:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 05:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 06:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 06:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 06:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 06:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 06:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 06:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 07:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 07:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 07:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 07:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 07:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 07:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 08:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 08:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 08:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 08:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 08:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 08:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 09:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 09:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 09:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 09:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 09:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 09:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 10:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 10:10:02;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 10:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 10:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 10:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 10:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 11:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 11:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 11:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 11:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 11:40:02;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 11:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 12:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 12:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 12:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 12:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 12:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 12:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 13:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 13:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 13:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 13:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 13:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 13:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 14:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 14:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 14:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 14:30:02;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 14:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 14:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 15:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 15:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 15:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 15:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 15:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 15:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 16:00:02;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 16:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 16:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 16:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 16:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 16:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 17:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 17:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 17:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 17:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 17:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 17:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 18:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 18:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 18:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 18:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 18:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 18:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 19:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 19:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 19:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 19:30:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 19:40:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 19:50:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 20:00:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 20:10:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 20:20:01;44;10;1;91;1;5;1;6
www.example.com;2018-09-09 20:30:01;44;10;1;91;1;5;1;6
